Unnamed: 0,ROUGE-1,ROUGE-2,ROUGE-L,F1,Response Length,Perplexity,Topsis Score,Rank
microsoft/DialoGPT-medium,0.1096601073345259,0.0532682926829268,0.1096601073345259,0.1612121212121212,16.6,4169.524319982529,0.6324315603861499,3
Pi3141/DialoGPT-medium-elon-2,0.1238095238095238,0.0785862785862785,0.1135531135531135,0.1006993006993006,11.4,434.5254747390747,0.6013979376266967,4
textattack/roberta-base-CoLA,0.0894862155388471,0.0594202898550724,0.0811528822055137,0.1271739130434782,40.8,4792.1501953125,0.7055550945168828,2
microsoft/DialoGPT-large,0.1888713358413691,0.102579365079365,0.1771066299590162,0.2363842609003899,30.4,27.780534172058104,0.7554438219740887,1
microsoft/DialoGPT-small,0.2277655677655678,0.1563636363636363,0.1944322344322344,0.1363636363636363,6.8,30942.561338806157,0.21807893019770433,6
satvikag/chatbot,0.2582417582417582,0.1831578947368421,0.2249084249084249,0.1571428571428571,4.4,961.2182510375976,0.5333303848475927,5
