,ROUGE-1,ROUGE-2,ROUGE-L,F1,Response Length,Perplexity
microsoft/DialoGPT-medium,0.10966010733452594,0.053268292682926835,0.10966010733452594,0.1612121212121212,16.6,4169.524319982529
Pi3141/DialoGPT-medium-elon-2,0.12380952380952381,0.07858627858627858,0.11355311355311355,0.10069930069930069,11.4,434.5254747390747
textattack/roberta-base-CoLA,0.08948621553884713,0.05942028985507246,0.08115288220551378,0.12717391304347822,40.8,4792.1501953125
microsoft/DialoGPT-large,0.18887133584136911,0.10257936507936509,0.1771066299590162,0.23638426090038994,30.4,27.780534172058104
microsoft/DialoGPT-small,0.2277655677655678,0.15636363636363634,0.19443223443223442,0.13636363636363635,6.8,30942.561338806154
satvikag/chatbot,0.25824175824175827,0.1831578947368421,0.22490842490842491,0.15714285714285714,4.4,961.2182510375976
